	estimate	upper	lower	
ethird_trd0pct0	 .02908273	 .09278965	 -.0346242	
ethird_trd0pct1	 .05239939	 .15087234	-.04607356	
ethird_trd0pct2	 .11350442	 .25278765	-.02577881	
ethird_trd0pct3	 .21668375	 .40411175	 .02925574	
ethird_trd0pct4	 .19467322	 .43923491	-.04988847	
ethird_trd0pct5	 .15059457	 .51766305	-.21647391	
ethird_trd0pct6	 .14771101	 .57928196	-.28385995	
ethird_trd0pct7	 .19682974	 .76403393	-.37037445	
ethird_trd0pct8	 .45234647	 1.2891241	-.38443118	
ethird_trd3pct0	 -.3467312	 .23083975	-.92430214	
ethird_trd3pct1	 .03064765	 1.1762275	-1.1149322	
ethird_trd3pct2	 .10565468	 1.3286096	-1.1173002	
ethird_trd3pct3	 1.6545832	 2.9841114	 .32505508	
ethird_trd3pct4	  1.780602	 3.2982519	 .26295213	
ethird_trd3pct5	 2.0988164	 4.1557851	 .04184777	
ethird_trd3pct6	 1.4234277	  3.591071	 -.7442156	
ethird_trd3pct7	 1.1503512	 3.5047233	-1.2040208	
ethird_trd3pct8	-.13437916	 2.6741589	-2.9429172	
