	estimate	upper	lower	
esite0	-.62818434	-.45570985	-.80065882	
esite1	-1.1265497	-.70951159	-1.5435878	
esite2	-.52764919	-.15541044	-.89988793	
esite3	-.89590835	-.46485723	-1.3269595	
esite4	-1.7027685	-.74256037	-2.6629766	
esite5	-2.8986578	-2.0507223	-3.7465934	
esite6	-2.4742687	-1.7894006	-3.1591367	
esite7	-2.5194767	-1.9576799	-3.0812734	
esite8	-2.5479202	-1.9352867	-3.1605538	
ebelligerent0	-.02847378	 .12240188	-.17934945	
ebelligerent1	 .08257958	  .2660324	-.10087323	
ebelligerent2	 .31839897	 .47290362	 .16389432	
ebelligerent3	 .43858179	 .70396927	 .17319432	
ebelligerent4	 .27182712	 .55196036	-.00830613	
ebelligerent5	 .40489447	 .73375426	 .07603469	
ebelligerent6	 .15698656	 .52465278	-.21067965	
ebelligerent7	-.05457968	  .5130483	-.62220766	
ebelligerent8	-.08687232	 .37551926	 -.5492639	
ethird0	 .01108557	 .19383404	-.17166289	
ethird1	 .02418259	 .30400061	-.25563544	
ethird2	-.03683979	  .3451619	-.41884148	
ethird3	-.35193823	 .06768204	-.77155851	
ethird4	 -.7659069	-.28930364	-1.2425102	
ethird5	-.69283728	-.19271215	-1.1929624	
ethird6	-.89273955	-.40907458	-1.3764045	
ethird7	-1.1055594	-.40914957	-1.8019693	
ethird8	-1.0060543	-.47937335	-1.5327353	
